customer_id,first_name,last_name,email,phone,address,city,state,zip_code,registration_date,date_of_birth,risk_profile,employment_status,annual_income,credit_score,is_fraudulent
C0001,Ricky,Weaver,ricky.weaver@email.com,555-249-5544,63403 Ashley Courts,Port Willie,PA,55591,2019-12-23,1967-03-15,,Retired,100321,707,False
C0002,Veronica,Steele,veronica.steele@email.com,555-832-4138,655 Matthew Haven Apt. 181,West Susanville,ME,32514,2021-01-05,1960-03-11,,Unemployed,30000,626,False
C0003,Sherry,Underwood,sherry.underwood@email.com,555-703-4033,56177 Jacob Green Apt. 006,Lake Jennifermouth,NH,98280,2018-08-08,1968-02-11,Moderate,Self-Employed,177277,659,False
C0004,Mike,Ruiz,mike.ruiz@email.com,555-879-6149,823 Bryant Underpass Suite 904,North Jeffrey,DE,71066,2018-08-14,1983-04-25,Aggressive,Employed,217333,692,False
C0005,Alexis,Molina,alexis.molina@email.com,555-184-6375,9361 Peterson Villages Apt. 906,Lake Cindyville,NY,25167,2020-02-28,1972-09-20,,Employed,148101,757,False
C0006,Douglas,Randolph,douglas.randolph@email.com,555-975-8011,414 Adam Harbor,Lake Alexandra,IL,19123,2020-09-01,1990-06-18,,Employed,116122,631,False
C0007,Erika,Hodge,erika.hodge@email.com,555-187-2953,7418 Payne Oval,West Travisfurt,GA,61748,2020-03-31,1991-03-06,,Employed,168844,472,False
C0008,Richard,Payne,richard.payne@email.com,555-534-9177,54222 Sara Locks Suite 714,West Julie,LA,86273,2021-04-30,1972-03-30,,Self-Employed,59635,548,False
C0009,Wesley,Cox,wesley.cox@email.com,555-623-5569,387 William Way,Holtmouth,GA,69589,2018-08-10,1965-06-24,Aggressive,Employed,78945,722,False
C0010,John,Hall,john.hall@email.com,555-610-1438,155 Thomas Avenue Apt. 666,Robinsonburgh,ID,60152,2021-05-23,1990-06-20,,Employed,43755,726,False
C0011,Heather,Fitzgerald,heather.fitzgerald@email.com,555-632-9064,4083 Garrett Plains,North Davidfurt,DC,71082,2019-02-18,1973-03-02,,Employed,74867,604,False
C0012,Amanda,Williams,amanda.williams@email.com,555-653-9955,2429 Marc Ramp Suite 940,Port Jamieborough,AK,14141,2020-05-31,1999-06-24,Conservative,Retired,37070,639,False
C0013,Allen,Jones,allen.jones@email.com,555-898-5965,64653 Mccarty Hills,Kendraburgh,VA,31514,2020-10-03,1979-04-27,,Employed,123981,741,False
C0014,Donna,Jackson,donna.jackson@email.com,555-602-9837,7774 Barker Wells,Crawfordfurt,OR,71580,2020-09-01,1985-03-21,Aggressive,Retired,61557,476,False
